date,product,quantity,unit_price
02-01-2026,Python Crash Course Book,3,128.5
03-01-2026,Ergonomic Desk Chair,2,1285.5
15-01-2026,GitHub Copilot 1-Year Subscription,3,367.3
21-01-2026,Mechanical Keyboard(Linear Switches),2,440.75
22-01-2026,Docker & Kubernetes Video Course,3,165.3
24-01-2026,Mechanical Keyboard(Linear Switches),2,440.75
21-02-2026,Raspberry Pi 5 Starter Kit,1,348.95
22-02-2026,GitHub Copilot 1-Year Subscription,2,367.3
02-03-2026,Ergonomic Desk Chair,3,1285.5
13-03-2026,Ergonomic Desk Chair,3,1285.5
16-03-2026,Docker & Kubernetes Video Course,4,165.3
16-03-2026,Python Crash Course Book,4,128.5
24-03-2026,Raspberry Pi 5 Starter Kit,4,348.95
28-03-2026,GitHub Copilot 1-Year Subscription,4,367.3
29-03-2026,GitHub Copilot 1-Year Subscription,3,367.3
